Date,Station,Latitude,Longitude,Land,20_RZD,20_RZSM_band1,20_RZSM_band2,20_RZSM_band3,20_irri_calc,DOY_UTC,EA,ELEV,EMISS_C,EMISS_S,ETref,FAPAR,FVC,F_C,F_G,H_C,IGBP,INSITU_SM,LAI,LAYER,LEAF_WIDTH,LST,MASK,MASK_S3,P,PRday,PT_20_CWSI,PT_20_CWSI_gf,PT_20_ET_day,PT_20_ET_day_gf,PT_20_ETp_day,PT_20_ETp_day_gf,PT_20_G1,PT_20_H1,PT_20_H_C1,PT_20_I_day,PT_20_LE1,PT_20_LE_partition,PT_20_LE_partition_gf,PT_20_R_n1,PT_20_R_nl1,PT_20_R_ns1,PT_20_WD,PT_20_WD_gf,PT_20_delta_R_n1,PT_20_flag,PT_20_flag_gf,PT_20_irri_sp,REFL_band1,REFL_band2,REFL_band3,REFL_band4,REFL_band5,REFL_band6,REFL_band7,REFL_band8,REFL_band9,RHO_NIR_C,RHO_NIR_S,RHO_VIS_C,RHO_VIS_S,SDN,SDNday,TA,TAU_NIR,TAU_VIS,TIME_UTC,TSEB_PT_20_ET_day_gf_corr,TSEB_PT_20_LE_partition_gf_corr,TSEB_PT_20_flag_gf_corr,U,VZA,W_C,X_LAD
2018-01-01,1.01,56.0193,9.1809,Heath,0.3000000119209289,34.006160736083984,26.76544570922852,21.525434494018555,0.0,1.0,8.252481460571289,59.0,0.966978907585144,0.9729999899864196,0.3452111482620239,0.4518124759197235,0.1732674092054367,1.0,0.7122370600700378,2.0,6.0,0.3722499999999999,0.3808013796806335,0.0,0.0199999995529651,,1.0,0.0,980.1431274414062,7.1527485847473145,,1.0,,0.0,-0.1458093076944351,-0.1458093076944351,,,,0.0761602744460105,,,,,,,,-0.1458093076944351,,,101.0,,1016.5999755859376,991.9000244140624,1023.7000122070312,1374.199951171875,1796.4000244140625,1917.0999755859373,2205.800048828125,1201.300048828125,766.2999877929688,0.2394865900278091,0.1817812174558639,0.0536379404366016,0.1080590784549713,21.00016975402832,11.235553741455078,278.0049743652344,0.2021752446889877,0.0117685794830322,8.850000381469727,0.0,,400.0,10.580215454101562,,1.0,0.5
2018-01-01,1.03,56.0283,9.1654,Heath,0.3000000119209289,33.71631622314453,26.98545837402344,21.91843032836914,0.0,1.0,8.243231773376465,68.0,0.9811193346977234,0.9729999899864196,0.3344498872756958,0.6521738171577454,0.2282532155513763,1.0,0.8889914155006409,2.0,6.0,0.435,0.520276665687561,0.0,0.0199999995529651,,3.0,0.0,978.923095703125,7.203830242156982,,,,,,,,,,0.1040553376078605,,,,,,,,,,,,,971.9130249023438,916.0,978.9130249023438,1488.7825927734375,2196.565185546875,2267.78271484375,2533.434814453125,735.7391357421875,455.521728515625,0.2173950672149658,0.2179033011198043,0.0482349768280983,0.1079975068569183,21.08657455444336,11.162199020385742,277.94512939453125,0.1783983409404754,0.0075104520656168,8.850000381469727,0.3344498872756958,0.0,400.0,10.562121391296388,,1.0,0.5
2018-01-01,1.04,56.07330000000001,9.3337,Forest,0.4631731510162353,,,,0.0,1.0,8.224811553955078,89.0,0.9832831621170044,0.9729999899864196,0.2939370572566986,0.898104727268219,0.5261027812957764,0.800000011920929,0.9160387516021729,10.0,3.0,0.2462083333333333,1.4948015213012695,0.0,0.050000000745058,,1.0,0.0,976.34716796875,6.7704854011535645,,1.0,,0.0,-0.1780675649642944,-0.1780675649642944,,,,0.2989566922187805,,,,,,,,-0.1780675649642944,,,103.0,,446.4347839355469,357.39129638671875,217.21739196777344,485.6956481933594,1316.478271484375,1732.7391357421875,1824.608642578125,298.0,130.56521606445312,0.2176707088947296,0.25,0.0451676286756992,0.1500000059604644,20.12799644470215,10.962224006652832,277.7816772460937,0.1787017434835434,0.0051856520585715,8.850000381469727,0.0,,103.0,10.250332832336426,,2.0,1.0
2018-01-01,1.05,56.033,9.1912,Forest,0.4193460345268249,,,,0.0,1.0,8.233492851257324,77.0,0.9710193276405334,0.9729999899864196,0.3209436237812042,0.732832670211792,0.4596403241157532,0.800000011920929,0.7627416849136353,10.0,3.0,0.2385,1.2325519323349,0.0,0.050000000745058,,1.0,0.0,977.8460693359376,7.13584041595459,,1.0,,0.0,-0.1438164561986923,-0.1438164561986923,,,,0.2465102523565292,,,,,,,,-0.1438164561986923,,,101.0,,349.2173767089844,276.7391357421875,199.56521606445312,381.2608642578125,1004.6087036132812,1226.8695068359375,1350.608642578125,241.9565277099609,123.78260803222656,0.217417374253273,0.25,0.044927429407835,0.1500000059604644,20.832088470458984,11.136991500854492,277.88262939453125,0.1784229576587677,0.0050134467892348,8.850000381469727,0.0,,101.0,10.521594047546388,,2.0,1.0
2018-01-01,1.06,56.05129999999999,9.161,Agriculture,0.3650442063808441,46.726318359375,44.23748779296875,59.93266296386719,0.0,1.0,8.258255004882812,60.0,0.9666962623596193,0.9729999899864196,0.3406577706336975,0.62518310546875,0.3437206149101257,1.0,0.7087031006813049,0.1500000059604644,12.0,0.2398749999999999,0.849335253238678,0.0,0.0199999995529651,,3.0,0.0,979.888427734375,7.238999843597412,,,,,,,,,,0.1698670536279678,,,,,,,,,,,,,1504.3043212890625,1661.521728515625,1633.1304931640625,2404.826171875,3240.695556640625,3396.78271484375,3669.478271484375,915.1738891601562,688.4347534179688,0.2173950672149658,0.3164333999156952,0.0713747069239616,0.1743745505809784,19.27359962463379,10.973544120788574,278.0055236816406,0.1783983409404754,0.026176705956459,8.850000381469727,0.3406577706336975,0.0,400.0,10.482257843017578,,1.0,0.5
2018-01-01,1.08,56.04659999999999,9.123900000000004,Agriculture,0.331463873386383,32.88017654418945,26.418853759765625,23.85780143737793,0.0,1.0,8.263837814331055,55.0,0.962340772151947,0.9729999899864196,0.3496766686439514,0.634492039680481,0.5548681020736694,1.0,0.6542595624923706,0.1500000059604644,12.0,0.2061666666666667,1.7607383728027344,0.0,0.0199999995529651,,3.0,0.0,980.5488891601562,7.327251434326172,,,,,,,,,,0.3521369993686676,,,,,,,,,,,,,1383.3499755859375,1594.300048828125,1469.8499755859375,2191.39990234375,3291.699951171875,3610.949951171875,3751.0,789.5,661.2000122070312,0.2188858836889267,0.216434508562088,0.062644138932228,0.1277584731578827,19.507204055786133,11.000866889953612,278.0481262207031,0.1800220757722854,0.0190458558499813,8.850000381469727,0.3496766686439514,0.0,400.0,10.538402557373049,,1.0,0.5
2018-01-01,1.09,56.03600000000001,9.1304,Agriculture,0.3000000119209289,36.7750129699707,28.925031661987305,24.344039916992188,0.0,1.0,8.258185386657715,58.0,0.9900000095367432,0.9737409949302672,0.3473903238773346,0.3375435173511505,0.034242607653141,1.0,1.0,0.1500000059604644,12.0,0.250875,0.0793549269437789,0.0,0.0199999995529651,,2.299999952316284,0.0,980.226806640625,7.30389404296875,,,,,,,,,,0.0,,,,,,,,,,,,,1565.6500244140625,1698.25,2051.050048828125,2483.39990234375,2714.050048828125,2871.89990234375,3055.35009765625,1404.0,1208.300048828125,0.2777231633663177,0.2801428139209747,0.1409657299518585,0.178717091679573,19.49535751342773,11.084110260009766,278.02587890625,0.2426155805587768,0.0854370668530464,8.850000381469727,0.3473903238773346,0.0,400.0,10.568962097167969,,1.0,0.5
2018-01-01,1.1,56.0348,9.2392,Agriculture,0.341730922460556,31.325328826904297,24.34406852722168,22.045875549316406,0.0,1.0,8.241971969604492,72.0,0.9676000475883484,0.9736860990524292,0.3256338238716125,0.280415266752243,0.1618086397647857,1.0,0.7200000286102295,0.1500000059604644,12.0,0.2231666666666666,0.4120683968067169,0.0,0.0199999995529651,,3.0,0.0,978.8107299804688,7.011265277862549,,,,,,,,,,0.0824136808514595,,,,,,,,,,,,,1246.300048828125,1331.6500244140625,1326.800048828125,1689.4000244140625,1995.0,2085.89990234375,2191.64990234375,1072.3499755859375,1024.6500244140625,0.2353014796972274,0.2078797072172165,0.1141143813729286,0.1311393529176712,21.083328247070312,11.152701377868652,277.9250183105469,0.1976093798875808,0.0626402273774147,8.850000381469727,0.3256338238716125,0.0,400.0,10.474568367004396,,1.0,0.5
2018-01-01,2.01,55.939800000000005,9.2207,Forest,0.3000000119209289,,,,0.0,1.0,8.229052543640137,62.0,,,0.3375149965286255,,,0.800000011920929,,10.0,3.0,0.2005416666666666,,0.0,0.050000000745058,,,0.0,979.960693359375,6.957221031188965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.016019821166992,11.91904640197754,277.9623718261719,,,8.850000381469727,0.3375149965286255,0.0,,10.842732429504396,,2.0,1.0
2018-01-01,2.03,55.98159999999999,9.1526,Agriculture,0.3000000119209289,29.40976333618164,22.84634780883789,21.31059455871582,0.0,1.0,8.25149154663086,52.0,0.979689359664917,0.9731589555740356,0.3542785942554474,0.5661872029304504,0.2569950222969055,1.0,0.8711163401603699,0.1500000059604644,10.0,0.2287083333333333,0.6863634586334229,0.0,0.0199999995529651,,2.299999952316284,0.0,980.9598388671876,7.193736553192139,,,,,,,,,,0.1372727006673813,,,,,,,,,,,,,1507.550048828125,1752.3499755859375,1705.699951171875,2415.949951171875,3616.050048828125,3841.64990234375,4038.10009765625,1186.9000244140625,1064.699951171875,0.2173950672149658,0.2681180536746979,0.0501029901206493,0.1613842546939849,20.17171287536621,11.521711349487305,278.0433959960937,0.1783983409404754,0.0090081952512264,8.850000381469727,0.3542785942554474,0.0,400.0,10.742623329162598,,1.0,0.5
